#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-36.56,24,1.769451
-47.1,41,1.843874
-64.55,52,1.864622
-52.55,39,1.890463
-42.35,29,1.900508
-34.5,27,1.919197
-35.18,27,1.929449
-39.8,33,1.9518
-33.35,27,1.96267
-40.25,35,1.985544
-39.7,32,1.998606
-38.45,30,2.023749
-43.35,35,2.035746
-39.03,30,2.056527
-49.45,42,2.071153
-53.2,46,2.098287
-53.815,48,2.14241
-60.85,49,2.168021
-44.6,34,2.181215
-45.25,34,2.203997
-39.2,32,2.215655
-40.65,32,2.234963
-47.509,39,2.248955
-37.08,27,2.266738
-60.2,53,2.296733
-45.25,38,2.311804
-54.1,41,2.33518
-36.83,28,2.344773
-48.15,40,2.36702
-48.8,42,2.383019
-44.68,35,2.408062
-57.8,45,2.441494
-40.86,32,2.465506
-40.98,32,2.49494
-47.45,38,2.510875
-35.26,25,2.531585
-49.95,40,2.554566
-45.65,40,2.588943
-41.7,36,2.616323
-47.65,40,2.63442
-50.6,44,2.658418
-53.75,43,2.678712
-53.75,44,2.704063
-42.103,37,2.738281
-40.85,36,2.751314
-44.85,37,2.781018
-45.25,38,2.800022
-37.33,28,2.824766
-47.65,42,2.847521
-35.25,30,2.859572
-49.95,41,2.880858
-44.6,34,2.893837
-37.9,32,2.916724
-34.0,24,2.925722
-42.75,33,2.949959
-45.2,37,2.965077
-44.35,38,2.987566
-34.1,27,2.998577
-57.2,52,3.027137
-42.05,37,3.051294
-45.1,39,3.066962
-51.55,40,3.089626
-39.6,35,3.101746
-39.05,32,3.123805
-44.7,35,3.136805
-52.95,40,3.163491
-53.95,46,3.190021
-45.35,39,3.204151
-36.015,30,3.224215
-53.95,41,3.238085
-35.85,31,3.2563
-22.61,14,3.2623
-34.11,23,3.278086
-45.3,40,3.293366
-36.63,27,3.312487
-31.26,23,3.321571
-42.7,37,3.344284
-38.73,32,3.355402
-31.28,22,3.363284
-47.9,40,3.388163
-40.595,35,3.412596
-39.75,33,3.424329
-49.9,42,3.450596
-31.63,24,3.459562
-47.68,36,3.482365
-46.6,40,3.500396
-34.9,30,3.579688
-47.6,39,3.593417
-52.25,45,3.619175
-40.125,32,3.638926
-49.85,40,3.652032
-40.6,36,3.67307
-44.75,34,3.684807
-42.5,37,3.707367
-30.274,24,3.715859
-32.83,24,3.732579
-39.4,34,3.744531
-40.5,31,3.762248
-40.83,36,3.774099
-41.25,34,3.79729
-46.75,39,3.809473
-56.15,46,3.832946
-47.05,41,3.85554
-36.175,30,3.867226
-36.3,30,3.888286
-43.7,33,3.900426
-45.95,38,3.922148
-44.55,38,3.936389
-43.8,39,3.96351
-38.5,33,3.975453
-50.25,41,3.999852
-36.43,27,4.018177
-43.3,30,4.029183
-39.25,30,4.039176
-55.05,50,4.063288
-43.1,35,4.08292
-34.153,29,4.092922
-39.6,32,4.110595
-50.83,42,4.125296
-43.25,34,4.145064
-25.3845,18,4.151304
-36.2,23,4.17078
-34.9,25,4.180698
-42.2,33,4.191697
-34.4,25,4.209163
-34.38,26,4.217739
-42.05,30,4.235731
-55.7,50,4.258765
-47.05,38,4.272239
-46.15,39,4.292567
-29.08,20,4.299571
-42.3,33,4.317181
-40.73,31,4.328223
-39.05,28,4.337761
-33.83,22,4.352087
-45.65,34,4.363086
-38.05,31,4.380579
-41.18,30,4.390529
-35.73,27,4.407663
-50.38,40,4.421391
-44.8,35,4.441355
-32.83,26,4.450382
-44.2,38,4.469557
-37.6,26,4.478701
-27.8,23,4.496089
-48.8,40,4.51053
-42.25,28,4.527675
-39.55,32,4.538673
-51.05,38,4.560168
-40.815,32,4.571496
-34.68,25,4.587651
-34.58,31,4.598601
-34.48,23,4.614685
-50.0,34,4.626766
-38.0,33,4.64427
-42.4,34,4.656356
-43.2,34,4.678767
-50.5,38,4.691776
-23.73,15,4.696766
-46.65,36,4.720395
-36.85,28,4.729447
-33.56,22,4.746575
-20.9115,12,4.7506
-50.9,45,4.776193
-31.46,21,4.784199
-31.7,26,4.793194
-32.58,24,4.813065
-39.824,34,4.824287
-39.35,29,4.844823
-35.05,30,4.914874
-48.88,39,4.939127
-45.65,37,4.952247
-36.5,30,4.973715
-42.93,35,4.985685
-44.35,38,5.008845
-45.35,39,5.032554
-41.18,31,5.042556
-31.21,22,5.058648
-31.103,26,5.068399
-44.8,35,5.080465
-33.68,24,5.097902
-35.4,30,5.109059
-47.25,38,5.130657
-48.65,39,5.150815
-34.28,26,5.159851
-41.5,35,5.171132
-47.6,36,5.201154
-29.28,27,5.210201
-42.5,30,5.228489
-50.0,38,5.247482
-40.65,35,5.258618
-39.8,30,5.275067
-39.35,33,5.286819
-41.75,34,5.3085
-36.75,29,5.318947
-39.15,30,5.337617
-37.95,32,5.350317
-32.78,24,5.358337
-27.618,24,5.376077
-40.35,30,5.387167
-27.3345,22,5.402243
-36.38,25,5.412722
-54.2,43,5.437927
-39.75,31,5.450935
-40.78,32,5.472036
-32.43,23,5.481042
-35.23,32,5.49404
-35.8,29,5.514083
-34.85,27,5.52265
-41.8,33,5.541765
-38.8,30,5.553806
-29.2,24,5.569591
-40.65,33,5.58255
-39.35,31,5.612574
-36.05,29,5.632492
-36.2,29,5.650897
-40.05,33,5.662891
-28.46,19,5.669977
-33.1,25,5.688966
-31.58,23,5.697958
-43.55,35,5.716626
-35.0,30,5.731742
-33.15,25,5.751482
-49.5,38,5.768138
-40.85,32,5.787621
-43.95,36,5.800565
-29.75,24,5.821301
-41.15,35,5.835554
-40.5,30,5.859231
-33.0,28,5.870227
-33.13,25,5.879229
-37.7,32,5.906312
-31.55,25,5.91591
-45.55,39,5.941037
-38.83,32,5.953004
-42.25,33,5.975233
-41.75,33,5.987225
-33.7,27,6.005834
-37.2,29,6.016899
-23.3055,16,6.030911
-31.95,24,6.0389
-43.18,35,6.058275
-34.3,29,6.069937
-36.85,32,6.081006
-29.65,24,6.098935
-32.45,23,6.108058
-36.1,30,6.131878
-35.05,27,6.142822
-37.7,28,6.161787
-36.65,31,6.174057
-31.75,25,6.182175
-35.3,25,6.2009
-36.15,27,6.212856
-35.85,28,6.231188
-27.93,20,6.279197
-41.85,35,6.304181
-32.0,25,6.313183
-32.75,25,6.321853
-33.3,27,6.34338
-42.15,35,6.358323
-28.5,23,6.375385
-38.9,28,6.38624
-29.65,22,6.394862
-34.95,28,6.416704
-29.8,23,6.424837
-33.25,26,6.442018
-33.95,28,6.453017
-36.8,30,6.471383
