#{"t_start": 1764086773.4055269, "env_id": "None"}
r,l,t
-33.429807,60,1.857873
8.198466,10,2.004926
6.123899,13,2.011901
4.24722,23,2.022133
4.400532,23,2.09135
-26.579569,60,2.115232
-24.559784,60,2.200936
5.345443,25,2.275549
-23.605257,60,2.359864
-29.973658,60,2.473738
-7.890796,54,2.493264
-23.599686,60,2.575431
-24.784631,60,2.697234
9.202129,5,2.704294
5.565122,17,2.801431
-19.456443,60,2.899078
-28.118656,60,2.982939
1.616618,35,3.001636
-15.001031,60,3.098032
-20.882533,60,3.182528
-27.64535,60,3.257675
-16.119262,60,3.338583
-23.943146,60,3.422993
9.23355,6,3.425994
-23.369946,60,3.531055
6.917916,22,3.539649
-34.334069,60,3.685401
6.764803,18,3.697444
-22.753686,60,3.791
1.739414,25,3.864511
-2.782512,44,3.886411
-18.160185,60,4.003209
-9.178967,50,4.089178
9.226393,5,4.091221
-1.983204,38,4.15508
-30.49369,60,4.233426
9.88,2,4.234481
6.425379,15,4.241473
-17.817239,60,4.362404
3.89726,26,4.377437
4.4737,24,4.464715
-25.324843,60,4.572236
-21.495807,60,4.660592
9.99,1,4.660592
-21.472236,60,4.745445
-17.242049,60,4.871391
-1.47767,34,4.894964
1.741469,41,5.043055
0.926941,45,5.06512
-26.097416,60,5.152069
2.402617,36,5.219995
-21.858687,60,5.308746
-30.062972,60,5.421967
-25.500486,60,5.505012
3.76687,28,5.519593
8.19,11,5.523595
7.444365,20,5.595212
-24.785823,60,5.673134
-2.927258,52,5.69169
-13.399269,60,5.787097
-0.701213,30,5.90151
-21.289138,60,6.01367
-24.197405,60,6.123071
-23.933843,60,6.211277
-21.297139,60,6.29063
7.818354,10,6.299627
6.710873,16,6.311623
7.477654,12,6.317621
-18.589485,60,6.439988
-22.303708,60,6.531595
-3.775438,48,6.629376
-11.038709,60,6.737077
7.538466,16,6.747171
-31.329012,60,6.855772
-1.709786,48,6.973868
-25.742976,60,7.066363
2.74114,35,7.082965
-32.110055,60,7.189754
-13.713319,60,7.295165
-1.147844,53,7.39401
4.154413,29,7.411037
-24.516806,60,7.525856
-28.479848,60,7.624369
-19.947191,60,7.735831
-22.083541,60,7.833248
-8.459956,55,7.914844
-25.722262,60,8.00276
-23.489467,60,8.090274
-22.648499,60,8.186687
-7.696353,52,8.205685
-29.495349,60,8.277716
-21.851619,60,8.353886
-15.454492,60,8.457889
9.88,2,8.458941
-15.454944,60,8.536011
-12.91784,59,8.647649
5.868367,16,8.654643
-1.640697,34,8.73921
-17.565061,60,8.819122
-21.184558,60,8.906028
6.057763,17,8.914031
5.789174,22,8.923079
-23.348717,60,9.000228
2.714364,39,9.0785
-1.29046,40,9.153444
-19.744151,60,9.241412
-30.297191,60,9.321939
-29.910532,60,9.356693
-13.519036,60,9.46911
6.51153,16,9.521641
-4.943035,52,9.543199
5.441069,30,9.604402
-1.490892,32,9.617404
-17.071254,60,9.948877
7.610318,10,10.015111
